token,numEn,numDe
aqj,0,0
aqk,0,0
aql,0,0
aqm,0,0
aqn,0,0
aqo,0,0
aqp,0,0
aqq,3,1
aqr,0,0
aqs,0,0
aqt,1,1
aqu,354,113
aqv,0,0
aqw,0,0
aqx,0,0
aqy,0,0
aqz,0,0
ara,5339,3810
arb,2604,4842
arc,3537,729
ard,9284,2389
are,7281,4742
arf,785,969
arg,3535,850
arh,46,104
ari,7034,4136
arj,18,22
ark,4824,4769
arl,2077,769
arm,3158,2383
arn,1576,1555
aro,1602,978
arp,1189,350
arq,80,27
arr,5194,1421
ars,2246,1810
art,10929,8716
aru,128,517
arv,476,361
arw,250,191
arx,21,23
ary,7191,308
arz,57,2920
asa,722,554
asb,108,201
asc,931,3492
asd,5,47
ase,6648,4569
asf,0,217
asg,7,105
ash,3094,335
asi,3020,2160
asj,1,3
ask,1332,874
asl,59,85
asm,576,600
asn,18,56
aso,1316,218
asp,1002,412
asq,69,7
asr,6,76
ass,9542,12730
ast,10332,6563
asu,1727,296
asv,2,67
asw,8,69
asx,0,0
asy,507,102
asz,6,136
ata,2791,1447
atb,79,113
atc,2514,115
atd,1,37
ate,26335,7481
atf,287,90
atg,36,133
ath,5580,1525
ati,42128,15238
atj,3,10
atk,34,176
atl,133,368
atm,659,314
atn,40,32
ato,6153,3177
atp,14,58
atq,0,2
atr,1506,1329
ats,726,1796
att,5249,6742
atu,3533,2714
atv,20,66
atw,50,77
atx,1,1
aty,369,72
atz,38,5361
aua,17,156
aub,81,4547
auc,611,3710
aud,925,412
aue,66,5043
auf,40,15255
aug,1136,1331
auh,19,251
aui,25,224
auj,9,14
auk,21,681
aul,1208,1140
aum,210,4796
aun,668,1970
auo,4,34
aup,66,1534
auq,1,3
aur,638,819
aus,1621,16055
aut,2658,4402
auu,1,204
auv,24,79
auw,0,242
aux,256,63
auy,2,2
auz,30,278
ava,1359,407
avb,0,5
avc,0,0
avd,5,0
ave,7076,529
avf,0,2
avg,0,0
avh,0,1
avi,2795,839
avj,0,0
avk,3,4
avl,12,7
avm,1,1
avn,2,0
avo,1346,253
avp,0,4
avq,0,0
avr,14,12
avs,13,8
avt,0,1
avu,53,30
avv,14,1
avw,0,0
avx,0,0
avy,430,10
avz,0,0
awa,1475,321
awb,202,4
awc,6,0
awd,52,4
awe,303,108
awf,243,4
awg,8,0
awh,17,2
awi,300,208
awj,0,1
awk,590,18
awl,242,23
awm,14,1
awn,546,5
awo,28,28
awp,10,0
awq,0,0
awr,26,9
aws,261,17
awt,65,4
awu,0,12
awv,0,0
aww,6,0
awx,0,0
awy,96,0
awz,1,0
axa,185,81
axb,57,17
axc,24,1
axd,0,6
axe,262,124
axf,6,6
axg,0,4
axh,2,5
axi,1174,768
axj,0,0
axk,0,7
axl,115,8
axm,4,2
axn,1,4
axo,189,80
axp,20,6
axq,0,0
axr,0,4
axs,4,9
axt,8,28
axu,1,4
axv,1,2
axw,24,21
axx,1,0
axy,77,1
axz,0,0
aya,475,187
ayb,77,12
ayc,20,3
ayd,22,9
aye,1137,162
ayf,93,6
ayg,18,6
ayh,10,4
ayi,392,50
ayj,0,0
ayk,3,7
ayl,173,42
aym,933,9
ayn,24,14
ayo,248,40
ayp,14,4
ayq,1,0
ayr,49,32
ays,787,61
ayt,37,8
ayu,10,5
ayv,0,0
ayw,41,4
ayx,0,0
ayy,8,3
ayz,0,0
aza,407,140
azb,2,0
azc,5,4
azd,4,1
aze,544,414
azf,0,1
azg,3,2
azh,7,5
azi,611,1253
azj,0,0
azk,1,2
azl,6,5
azm,5,0
azn,2,0
azo,379,246
azp,1,1
azq,0,0
azr,1,0
azs,1,0
azt,4,2
azu,68,151
azv,1,1
azw,1,40
azx,0,0
azy,96,29
azz,166,109
baa,5,4
bab,1141,164
bac,3695,693
bad,739,294
bae,25,9
baf,34,9
bag,805,96
bah,24,910
bai,224,55
baj,3,16
bak,226,344
bal,3056,1342
bam,180,89
ban,3807,2310
bao,13,4
bap,113,19
baq,10,7
bar,3609,5822
bas,2706,657
bat,2680,610
bau,86,3927
bav,11,1
baw,41,5
bax,9,8
bay,244,41
baz,31,23
bba,200,593
bbb,0,0
bbc,0,0
bbd,0,1
bbe,795,617
bbf,0,0
bbg,0,0
bbh,0,0
bbi,443,270
bbj,0,0
bbk,0,0
bbl,956,150
bbm,0,0
bbn,0,0
bbo,279,72
bbp,0,0
bbq,0,0
bbr,71,339
bbs,22,32
bbt,0,1
bbu,16,30
bbv,0,0
bbw,0,0
bbx,0,0
bby,203,87
bbz,0,0
bca,47,4
bcb,0,0
bcc,0,0
bcd,0,0
bce,6,0
bcf,0,0
bcg,0,0
bch,15,365
bci,0,1
bcj,0,0
bck,0,0
bcl,24,5
bcm,0,0
bcn,0,0
bco,60,6
bcp,0,0
bcq,0,0
bcr,0,1
bcs,0,0
bct,0,0
bcu,25,2
bcv,0,0
bcw,0,0
bcx,0,0
bcy,0,0
bcz,2,2
bda,16,100
bdb,0,0
bdc,0,0
bdd,0,0
bde,31,163
bdf,0,0
bdg,0,0
bdh,0,0
bdi,52,98
bdj,0,0
bdk,0,0
bdl,0,0
bdm,0,0
bdn,0,0
bdo,227,162
bdp,0,0
bdq,0,0
bdr,1,184
bds,0,1
bdt,0,0
bdu,93,77
bdv,0,0
bdw,1,0
bdx,0,0
bdy,0,0
bdz,0,0
bea,3399,858
beb,6,326
bec,585,402
bed,1199,1594
bee,1682,1094
bef,234,1248
beg,413,1425
beh,1345,1638
bei,260,7359
bej,6,32
bek,13,1111
bel,2793,5831
bem,27,326
ben,1289,16113
beo,28,151
bep,9,143
beq,10,49
ber,5929,18498
bes,716,6177
bet,1132,2976
beu,7,815
bev,110,258
bew,44,2200
bex,23,6
bey,220,3
bez,36,1098
bfa,9,437
bfb,0,0
bfc,0,0
bfd,0,0
bfe,6,147
bff,0,0
bfg,0,0
bfh,0,0
bfi,12,113
bfj,0,0
bfk,0,0
bfl,3,273
bfm,0,0
bfn,0,0
bfo,47,81
bfp,0,0
bfq,0,0
bfr,6,149
bfs,0,0
bft,0,0
bfu,15,34
bfv,0,0
bfw,0,0
bfx,0,0
bfy,0,0
bfz,0,0
bga,5,337
bgb,0,0
bgc,0,0
bgd,0,0
bge,5,948
bgf,0,0
bgg,0,0
bgh,0,0
bgi,5,27
bgj,0,0
bgk,0,0
bgl,5,80
bgm,0,0
bgn,0,0
bgo,4,11
bgp,0,0
bgq,0,0
bgr,29,145
bgs,0,0
bgt,0,0
bgu,0,33
bgv,0,0
bgw,0,0
bgx,0,0
bgy,0,0
bgz,0,0
bha,12,340
bhb,0,0
bhc,0,0
bhd,0,0
bhe,11,126
bhf,0,0
bhg,0,0
bhh,0,0
bhi,5,19
bhj,0,0
bhk,0,0
bhl,0,0
bhm,0,0
bhn,0,0
bho,19,141
bhp,0,0
bhq,0,0
bhr,0,0
bhs,0,0
bht,0,0
bhu,4,61
bhv,0,0
bhw,0,0
bhx,0,0
bhy,6,3
bhz,0,0
bia,1022,177
bib,149,164
bic,800,132
bid,429,116
bie,204,2024
bif,62,17
big,603,739
bih,10,9
bii,17,9
bij,8,3
bik,217,132
bil,5497,3861
bim,40,25
bin,2314,2582
bio,1288,801
bip,73,27
biq,50,28
bir,2101,557
bis,555,1303
bit,2666,962
biu,61,52
biv,54,21
biw,4,6
bix,5,2
biy,1,0
biz,36,38
bja,4,31
bjb,0,0
bjc,0,0
bjd,0,0
bje,966,394
bjf,0,0
bjg,0,0
bjh,0,0
bji,0,0
bjj,0,0
bjk,0,0
bjl,0,0
bjm,0,0
bjn,0,0
bjo,5,2
bjp,0,0
bjq,0,0
bjr,0,0
bjs,0,0
bjt,0,0
bju,34,10
bjv,0,0
bjw,0,0
bjx,0,0
bjy,0,0
bjz,0,0
bka,0,89
bkb,0,0
bkc,0,0
bkd,0,0
bke,2,74
bkf,0,0
bkg,0,0
bkh,7,0
bki,5,16
bkj,0,0
bkk,0,0
bkl,0,96
bkm,0,0
bkn,0,18
bko,1,318
bkp,0,0
bkq,0,0
bkr,0,165
bks,0,0
bkt,0,0
bku,1,75
bkv,0,0
bkw,0,0
bkx,0,0
bky,0,0
bkz,0,0
bla,4292,2737
blb,0,0
blc,0,0
bld,0,0
ble,13399,2768
blf,0,0
blg,0,0
blh,0,0
bli,2871,2836
blj,1,2
blk,0,0
bll,0,0
blm,0,0
bln,0,0
blo,2556,496
blp,0,0
blq,0,0
